刘佳(00:08:08): 各位领导和同事能听到我说话吗？我看那个人都齐了，我们就开始吧！
胡高鹏(00:54:19): 我觉得是医生的真实的诉求，他就是想看到开的自己的点，但是从图书的角度觉得11对应会很麻烦，所以我在想是不是就11对应那个点，还是要把它死磕，然后找到一个解决方案可能更好点，如果用就是刚刚俊总说的那种方式，就是我感觉实验，我感觉我想了一下就是方案，我感觉。有点麻烦，我想的时候感觉这是我的粗浅的想法。

涂丰涛(00:54:56): 我刚才想我们通过这种11对应的方式推给到这个医生是想让他确认他给我们推荐的患者去做了检查。医生这边他接收到的信息是我推送给他的，也有可能他确实做了检查，我不推送给他？这种情况下，从医生的角度，他也是没法去做确认的。因为他最终看到的到底他推荐的这个人有没有做检查，他还是以我们推过去的信息为准？

胡高鹏(00:55:40): 目前的这个第一个页面12份待检验报告就是我们系统在后台里面那个逻辑，就医生给患者之前推荐了10个，然后最终5个成交，然后在后台里面存了那个逻辑，然后推荐给他的就是这5个真实已经出了解读报告的这个对。

涂丰涛(00:56:02): 他即便做了，如果我们不推送从医生那端他也看不到他到底有没有做，如果按照这种方式做确认。那他要是怀疑有一个人他推荐他确实没做，但是医生又认为他做了，那这种情况下怎么去做，进一步的确认？

胡高鹏(00:56:23): 所以就是通过这个第一张页面，然后他医生看到他已经要解毒的，他才知道，这个患者去检查了，他才能有那个核对的环节里面说。

涂丰涛(00:56:35): 不知道这个逻辑也是我们告诉他的嘛，如果他做了我不推这个解读给到他，我说没有做，那从他的角度他。他如果有合理的怀疑，那怎么去做确认？

陈俊(00:56:59): 他确认不了。

袁戎(00:57:04): 他的线线上就确认不了他线下就是首先平台我们本身不会做这个事情，他除非他说他明确知道这个患者交了钱让平台交了钱，他又看不到，这时候他才会来找我们，怀疑我们这个问题。

陈俊(00:57:05): 害羞装备。

陈俊(00:57:20): 不，所以我才会说，就是我刚刚讲的讲这个事情复杂，他只要一切开了检查建议的这个病人的状态他都看得到，无论缴费没缴费的他都看得到。比如说那个影像数据，他查不到那说明就没去做检查，就因为没有缴费，他肯定知道他这里面会有张列表就是整个的他比方今天开了10张这10个患者，他到底现在进行哪一步是已经在去医院的路上，还是说他已经完成了检查这个状态，他是可以监控的。

袁戎(00:57:52): 军军长，军长我打断一下就是我的理解就是本身在医生，他看到这个表，这个过程，我觉得就是非常不合规。

陈俊(00:57:52): 是负责把柄！

袁戎(00:58:06): 听明白我的意思吧，他不一就是你本来你是一个非医疗行为的就是我们就一直在模糊这个事情就是我们一直把它叫做一个建议，就是在医生的，在一个线下，这个医生他就不应该看到这个东西。

陈俊(00:58:06): 他不这么？

袁戎(00:58:22): 秘密有一种他看到这个事情就本身就会非常的高风险。

陈俊(00:58:28): 他只能给个建议就结束了，后面的事情不能跟他有关系了。

袁戎(00:58:36): 我的理解是这样，他看到这个表过程就这个表在他面前呈现，我觉得就是一个很高风险的事情，我不知道涂俊你你那个就是等于说我在不停的去给相当于我不停的去开处方嘛，你就等于我在不停的开处方，然后处方我还一直看到，甚至我交费状态，什么信息，其实从临床医生的角度。这是完全拿不出就是不能上台面的一个事情，这个东西。

陈俊(00:59:04): 你不是说给他看到有没有缴费状态，我只是给他看他能不能看到那个影像数据。

袁戎(00:59:14): 那又回来了吧，就是这又毁了我们的，我们现在的解决方式说他解读的方式，他通过解读这个页面就能进到看报告，看检查的里面去。

陈俊(00:59:14): 或者影像报告。

袁戎(00:59:29): 然后在你刚刚提的就是我们如果是交叉的话，我觉得分两个页面，一个页面是它要去解读的就是异地的患者，一个页面是说他本地的我开单并且做了检查就是我建议了的，并且做了检查的患者，但是另外一个就本地的患者，我们。我们给他叫一个什么，就他为什么他怎么为什么能看到这些人的报告？你理解意思吧，他在平台上注册是作为一个报告咨询的医生，作为注册，他在平台上不是作为一个开单医生的。

袁戎(01:00:16): 就是你说的那个状态就是患者有没有交费，有没有是在运营那个页面是可以呈现，但是在医生这个页面就这样，就我们想医生在我们的设计整个合规流程设计里面就是医生作为一个线下开单的医生，他为什么会上这个平台？他上平台的唯一的逻辑就是他来做解读。就好像就我们之前说的，他在平台上，他就好像说我是我在平台是一个外卖员，我不是一个厨师，我不是去开一个商店的人，我只是外卖人，我只是做我的这一部分工作，但是我在线下其实去会推荐别人什么什么是额外的事情，在平台层面，从合规路径层面，他就只在做解决的事情。

陈俊(01:01:17): 我听明白了，我在思考，我在想你，你们先讨论一下。

袁戎(01:01:28): 我们回答就是最前面就是医生，他在我们青藤就是这个线下的开，就是建议的这个医生，他在平台上他为什么会注册平台，是因为平台会给他报告解读，他不是因为他可以在平台上开单，他的开单过程是由另外的平台职业医生来完成的，从合规路径来讲，我们讲的世界这个工具，只是我们当相当于说给医生他有一个工具，能够让患把这些信息快速的带到这个跟平台的职业医生的这个问诊记录里面去。这个过程在平台上有这个动作，没有这个记录。

胡高鹏(01:02:08): 对我刘佳老师。

袁戎(01:02:10): 这就是我们去设计整个合规路径的一个最最开始的，包括我们上次讨论说为什么会有两个主体之间，大家签的一个是互联网医院，一个是品牌。大家的劳务合同是不一。

胡高鹏(01:02:40): 对刚袁总讲的，我这边很认可，然后我那个刘老师你可以方便让我公平一下吗？就是我这边，我在做这个方案的时候，也整理了一个流程，然后我可以共享，稍等一下，花个两2分钟时间。

胡高鹏(01:03:04): 我当时在做这个整体的这几个步骤的这个页面的时候，就是为什么把它分隔开，就是让医生不在这里操作，我的想法是这样的，你换一下我的理理解，就是患者的话，他进到他有需求，然后到线下诊所，医生跟他说他的那个诊病术的那个概念。好诊所医的话，他就沿用我们之前的那个 h5的开页面，把这些动作，然后给他记录操作，然后在这个页面我们不是有个 h5开单页面嘛，下面原有的有个扫码开单和分享订单给患者，然后上面加一个问诊二维码点这个二维码的话。展示出来的话就是就这样展示出来就会有个二维码页面，然后医生把这个手机给到患者打开微信，扫一下这个二维码，扫一下二维码以后，患者他的手机页面，微信就会跳到哪里，就会跳到。医生那个互联网医生的这个问诊的页面，他就跟互联网医生进行问诊，然后问诊的过程中的话，他之前的，因为这些数据医生都把这些数据带给他了嘛，带给他了，他就可以直接通过这种互联网医生这种 AI 的方式进行确定的话就可以有那个留痕嘛，留痕的那种方式，然后后面又直接支付完以后的话，他就到线下去做检查，然后干嘛的，然后对于这一块医生的话，那这个医生他怎么拿到报告就刚刚我们说的那种方式就是给他派单，然后这个报告他去解读这种报告的这种方式来弄，而且这一块的话，我觉得我这一块我觉得也。

胡高鹏(01:04:39): 不能把这一块弄上去的原因我也参考了那个美团那块我看一下美团的这一块，就是前面他比如说这里描述病情这一块让我匹配三甲前面描述病情那一块就是 AI 来动的，我说的一些什么红疹，什么一些内容他都跟我都记录，然后在这一块就是诊所医生做的，然后这是 AI 做的，然后帮我自动分配给诊室互联网的分配完医生以后就是互联网的，在这里稍等。

胡高鹏(01:05:11): 我在这里就是中间的这个问诊，然后这里有个正在分配医生把我前面的那个信息然后分配给互联网医生跟我解答的时候，然后对我的病情。给一个明确的答案，让我支付我觉得是整体的路径，我在弄的时候，然后刚刚俊总说的看那个整体的链路，我把后面的那个运营的那个页面也给他整了一下，就是。

胡高鹏(01:05:37): 就运营人员的话，他会看到我的提成，然后哪些患者，比如说我绑定了10个医生，哪些患者已支付已检查已出报告他在运营在他的页面里面就可以看到这里已支付，这就通过这个链路运营来去把控他手下有哪些医生绑定了，然后哪些今天有哪些报告出来了整体的链路，然后左边的话右边是那个互联网医生，然后注册的那个页面，完成职业医生的认证，提交一些对应的一些资质。然后左边的话是医生就是诊所医生有一个二维码，然后让运营去扫码，跟他绑定进行这个绑定关系。然后我觉得现在的卡点的话主要是在于。这个地方就是待解读这一块就刚刚就目前的话，我是花2分钟，然后说一下我的理解，我觉得那个信息，然后我把我的想法同步一下，我觉得考虑这个点可能会。

胡高鹏(01:06:27): 更 OK 的嘛，然后在这里的话就是有一个报报告不是给他写了嘛，然后这是医患者的话，看这个解读报告的时候，他这里就会给他一个评价留存的这种方式。然后这里是医生的署名，这个名称对这是整体的，我在做这个时候的一个想法对。所以回到这个点的话，我觉得我目前的卡点，我觉得还是在这里，如果说买那个涂律师说的那个合规11对应关系这个点搞定，我觉得整体方案我觉得后续弄下来，我会思路会非常清楚，马上就能尽快给它弄出来，但是用一些其他的错位，或者是那种各方面的方式，我就觉得操作基础时间没问题，但是方案弄起来会觉得比较拧巴，就是这样子感觉。

胡高鹏(01:08:01): 我这边讲完了，然后看一下其他领导和老师的意见。

陈俊(01:08:17): 涂律师你你看还飞飞总还有你你你看我在想，我这里面有一个环节，啥环节就是医生拿那个二维码出来这一下。你跟他后面的报告解读他这个对应的是有嫌疑的。

胡高鹏(01:08:44): 我觉得这个动作的话，嫌疑点是在哪里，就是他给这个码说他有个入口，让患者进到互联网医生的这个页面，他仅起到这个作用而已。那比如说100个患。

陈俊(01:08:57): 不是他本质的行为，是不是在推荐在做推荐这个事情？你从平台的功能，我知道你是想把他信息抓起过来，省得老百姓下单，他自己填左填右填他不方便，但是你你跳开这他们两个人之间站在个第三方的角度来看这个问题，医生是不是在做推荐的活。是不是然后你好，你马上对应的给了他派的活，你还给他付了钱，你这是不是说不清楚？

胡高鹏(01:09:26): 那能不能这样，就是我想用这种方式，那医生拿手机拿出来这东西，从这个页面上看，就感觉它很有导向性，那我把这个二维码贴在这个床这个墙边，然后贴在这个桌上，就患者扫这个桌上的二维码，或者是墙上的二维码，然后进到这个互联网医生的这个资质页面可以吗？说我这个交货方式，我就比较复杂一点，就可能他就会从头问一下，就把这一块信息，把这一块的信息就不是医生抓住数据带给他了。那这一块就在互联网医生这个页面，他就询问他，反正我理解为那询问这个过程中就一一选择检查项目。但是诊所医生在旁边进行辅导，那这时候在医生的话，他就好像就没有任何我给手机给你扫，这样方式吗？就斑马。

陈俊(01:10:19): 不是我这样的能不能这样子就是医生那边，他比如说他可以在他的手机上或者电脑上，他只要填两个东西或者三个信息，比如说这个患者的姓名，这个患者的身份证或者电话号码，这三个信息绑到一起。然后我们后台会自动识别出来，然后这个时候立马又有一个以患者的身份进平台，他也填了这个人的姓名，这个人的电话，这个人的身份证号码就它就会自动把那个医生填写的其他的症状主诉直接抽过来，就不要让医生跟患者之间发生关系，因为你你这个扫码动作。

陈俊(01:10:57): 在推荐你懂我意思吗？如果这个患者他是一个就他比方他整个就医链路他发生了一些。我们说不太确定的东西，他有报复心理，他马上就把医生举报了医生会有担忧的。你你有没有听懂我的意思，患者跟医生之间没有这么强，就是扫码这个动作能不要这么直接？就把这个动作分解成就是各管各的事，医生写他的主诉，写他的这个病人信息，他就自己在自己手机跟电脑上去写，然后患者，他不是他扫码嘛，这个事情嘛，只要他不要扫码，医生就跟他讲，你可以关注一下那个易脉青藤，你自己搜一下。

胡高鹏(01:11:29): 我离。

陈俊(01:11:48): 或者不会收不，你不会收，你可以扫一下这个码。你至少这样子抓不到证据，你懂我意思不？

胡高鹏(01:11:48): 我理解。我理解郑总意思，相当于说，不管是医生把手机号码给他还是贴在桌上，那种码都会有很强的导线性，那一旦发生医患之间的冲突，他可能也会报复或者那种心理，包括说在合规上有那台上的关联性，就是那是否是能，比如说口头的没有那比如说问一下那个患者，你手机号多少医生这边偷偷在一个手机页面里面填入那个患者的那个手机号，然后让患者这边直接手机自己手机打开那个 email 技能小小程序不是小程序进来以后不是要获取他的手机号码，获取他手机号以后自动推送一个让他入口进到互联网医生的资质页面到这里。他俩就完全没有关联。是这个意思吗？

陈俊(01:12:43): 对就是医生跟患者之间不要这么强，至少从他们两个人之间交流的下来，感觉是没有没这么是断的，然后但是我们从后面从我们平台角度来讲，我们要把他们两个人信息说出来的东西得。得绑到一起，首先那个患者不能输入太多东西，他输入太多东西就会他就会嫌烦，然后医生那边又不想让患者知道那么多，拿个二维码展示给他，让他扫。

陈俊(01:13:10): 你要想医生你不要只想着诊所的医生有可能是，比如说假设是武汉同济大学，武汉同济医院的那个医生，那他会有顾虑，他会爱惜自己羽毛，他会有很强的顾虑的。

胡高鹏(01:13:32): 我刚刚想到。

陈俊(01:13:33): 这个能实现吗？能做得到吗？就是从这个就你说的就目前在问诊这个环节当中，这个能做改变吗？然后这个如果没有痕迹，你说后面。后面的那个什么去推送报告解读这件事情，是不是就没啥问题，这个大家讨论一下哈，你像那个飞总跟涂律师，你们怎么看？

陈俊(01:13:58): 还有刘佳。

李飞宇(01:14:13): 我觉得咱们是给他的是一个平台，比如说推荐的是个平台，他只是引导到一个平台上去弄，然后在上面再去选各个的交互中心，然后再去弄。就说，比如说是说咱们这种体检中心就是医生就指定你到这个推荐你到这个中心去弄还不大一样，我说咱们这个安全系数还高一些。因为到平台那里可以自己选自己的空想去哪个嘛，也可以不去，我觉得这个推荐并没有什么指向性，推荐的只是让他上这个平台，在平台上进行一个自主选择，我都觉得不是很担心这个。

刘佳(01:14:58): 我理解这个里面是两个部分，第一个部分是首先医生在线下问诊的时候，然后他可以告诉患者说，你可以去青藤平台或者是你扫一个青藤的一个自主下单的一个二维码，那么患者扫了之后，他用他手机去登录，然后他是。

刘佳(01:15:33): 线上问诊的一个二维码，然后再进去做一轮互联网医院的一个问诊，我觉得这样的话是不是就能相对合规一些，因为这里面我理解核心是在于说医生只。是推荐了一个平台，那么平台上。

陈俊(01:16:18): 陈俊你你怎么看这个事？

一米阳光(01:16:27): 我感觉是要错开耶，就是有一个内定的串号，我们怎么样设置，进行一个串联。因为后面，后面等我们要费用去，计算的话，后台肯定会有一个计算依据，不能太明显，我们原先扫描过去，然后医生看得到，就是我们说错配你的计算逻辑又是根据他原先接接诊推介过来的来进行一个错配，因为它有额度系统自动分配过去嘛，比如说5块钱一个或者11个配5个，那也是要。底层这后台要算出一个依据来，依据，他躲不起来，还是有风险的，怎么样去把来源基层的逻辑数据一定是要，

一米阳光(01:17:18): 光明就是阳光化。就是看能不能就刚才讲的就是我们能不能找到一个内线，让患者至少。患者他不知道找不到点，第二个就是咱们后台里面原技术逻辑能不能，这个逻辑来源能不能？阳光化就虽然我们找到了，他能通过错配，什么方式，但是他底层的逻辑，比如说我算出来是7000块钱，你要去错配，要凑7000块钱，底层他肯定是会有7000块钱来源，可能。我也不太，我也不太懂，俊总我感觉这两个层面。11个是说患者他的感知度他不能太，会有那些。有证据吧，那第二个，我们后台，后续，结算的逻辑，他肯定有一个真正意义上的跟名义上的怎么样去区分，

一米阳光(01:18:35): 把真正意义上的，要么他就真正意义上的就是跟就建立一个隐形的什么关系，我也不太懂，我发现我们去医院也会看到医生的那桌上摆着一个二维码，确实有，有一些是在整的。

陈俊(01:19:04): 你现在去医院有看到医院桌上摆二维码吗？

一米阳光(01:19:08): 我有一次去看我没扫，

陈俊(01:19:09): 二维码是什么二维码？

一米阳光(01:19:12): 老人家用得上，我恰好没用上，我没扫，我去医院看眼睛的时候，他们确实他说有什么需要扫二维码，说白了他也是一种推荐，但是他是怎么结算的，因为我当时也没注意，因为是我们我才想起来当时去医院的那个场景。

李飞宇(01:19:53): 我觉得这种患者举报的可能性比较小，因为推荐这个平台的话，患者再去选那些中心，我觉得因为相当一部分这个选择权利交给患者了吧，和指定那种还真不咋一样。

涂丰涛(01:20:11): 是的，费总就是因为我们这个平台青藤平台的定义，它就是一个撮合平台，按照逻辑上就是。这个接诊的医生哈，推荐我们这个平台，它肯定是一种推荐跟转介，这肯定是这样的一个行为，但是就是说他转接之后，患者上了这个平台，因为他在这个平台上，到底到 a 医院还是到 B 医院去做这个检查，这个是他自己去做选择，根据他的那个。就诊的半径，根据他自己去做的选择整体比那种点对点的推介要看起来要好一些。

李飞宇(01:20:55): 对一个是第二个我在想，他这个患者就是在上面做完检查了，如果说是这个医生这个他这个推荐来的，那我就得交给他进行报告解读，那么他是拿的，比如说是他推荐了10个患者，有三个患者交了费了，做了检查，有两个要求报告解读，那交给这个原来他这个医生进行报告解读，拿2000还有他没有不要去报告解读他报告出来之后，我去找别的医生看，那么这个医生他就少一个，那少的话，那咱们用其他东西来找补，比如说刚刚说的那个什么写科普文章或者审文章什么的，我们这些找以前都想过，然后。这个补补齐了，那么真正推荐医生拿的钱的话，那他就是拿了两份解读的钱和一份这个审报是个这个科普文章的钱，他的这个计价是按着这个来的，咱们都有明码标价的你你比如说是解读一份给你多少钱，写个科普文章给多少钱？那我觉得这样的，那他其实并没有什么太大的风险，不过他的确是他可能是推荐完的患者来做的多，他可能就是他交给他这方面工作量就大一些。我觉得相对来说这样是比较安全的，也比较合理的，他拿的是的钱。

李飞宇(01:22:37): 比如说可以说让医生推荐了患者，那推荐患者是没有钱的，但是如果这个患者是要求这个报告解读，他就去进行报告解读，我们给他报告解读的钱的。

陈俊(01:22:54): 对我们给钱的事实依据就是他从事的报告解读或者随访建议或者说什么科普等等，做了这些事我们再给他钱，那我们跟他的签的所有的协议都是这样的，就是我只是让你做这些事，我没让你做那个什么推荐开单，那个我没让你做。这个肯定是逻辑是没有问题的，现在我就说哈就你看哈。只能说有扯的空间。

李飞宇(01:23:33): 不是患者不是医生推荐的这个患者，只要是教会做了检查的，一定咱们要强制性的让患者去找这个医生进行报告解读吗？不？

陈俊(01:23:51): 什么。

李飞宇(01:23:53): 不是咱们平时每个医生，比如说推荐10个病人，三个病人做了检查上7个平台找中心做了检查，是强制性的要求这三个患者去找这个医生做报告解读吗？也不是吧？

陈俊(01:24:11): 他肯定要做个解读，不然的话他就拿不到收入。

李飞宇(01:24:18): 不是解读是个患者自愿的那患者万一有的做完检查了之后一看还真有点事，那我可能我自己就去找别的大夫去弄了，我不再找，比如说这个县医院的这个大夫弄了。他就不需要去做解读。

袁戎(01:24:33): 飞总我们这里说的解读和一脉的那个报告解读不一样，他解我们说的解读其实只是让医生签个字，它是内容是 AI 生成的，只是通过这样一个过程来给医医生费用。

李飞宇(01:24:44): 我知道你你这个意思，刚才说的，我说这是形式和实质。

袁戎(01:24:52): 每一个人都会做。只要是他推荐开单的患者。

李飞宇(01:24:56): 那你就是强。那就强制性的。

袁戎(01:25:03): 就好像我们在美团外卖上每点不管我点的啥，我到需要给我外卖员去送一样。

李飞宇(01:25:12): 我想一下，我本来是想着把它的解读量和它的推荐的量不大一样，然后其他通过这种科普什么给他找补，这样的话就显得他是拿的那个钱，而不是推荐的钱吧。我在想这个事。

陈俊(01:25:32): 其实我觉得是这样的，我觉得你不能让患者就现在这个投屏投的这个界面哈，这个动作容易引发患者投诉。或者举报这个动作能不能改一下，改的或至少患者不会觉得这么硬，你知道吧，这个是属于叫硬广？

李飞宇(01:25:58): 这样的他其实我明白你的意思，你看像早上旗舰中心的话，一看现在东北那边以前是比较松的，竞争也比较厉害，有开普有那个什么蓝蓝旗什么的好几家，就是比如说是那个医生，现在不诊患者要做一个磁共振的腰椎检查。

陈俊(01:25:59): 理解我的意思吗？

李飞宇(01:26:18): 医医生会拿出几张纸说，这面有几家这个检查中心，你去那不用排队就直接能做你自己选一个吧，那他可能会把他自己比较倾向的放在最上面。然后患者就去可以让自己选，这样他也不质量也不强迫这样患者，他就他没有什么太多，就是通过这种方式，患者让患者感要去投诉的。还比较少，那咱们其实本身平台就承担了，我觉得。

陈俊(01:26:51): 我问你飞总我就问你，我们现在图片这个医生拿这个二维码给老百姓扫一下这个事情你觉得他合适吗？

李飞宇(01:27:02): 那反正是那你说打那个点中心的那个不就，上面比如说打的开普的蓝旗的三个的话，你想去哪个你就扫一下这个门，你看就可以了。甚至还有以前的话不用微信的时候，以前还是用电话用。

陈俊(01:27:22): 不医你你你假设一下就作为医生来讲，他没有顾虑吗？老百姓倒无所谓，作为医生来讲，他把这个二维码展示出来，天天做这个动作，你觉得他会没有顾虑吗？

李飞宇(01:27:32): 不是他是出出展的时候，他放在那个桌上让他选像咱们现在实际情况都是那样，我不管他有没有顾虑，但实际是这样操作的，还有的就是你要想快点做的话，我给你一个联系电话，你打这个电话看他能不能帮帮你去推荐一个地方。咱们实际的企业能力操作就是这样操作的！

一米阳光(01:27:58): 我下次不知道谁会去二附院吧，我好像在二附院，我觉得医生拿出手机来确实有点难看，他们二附院我当时去看的时候是他们桌上摆着一个二维码摆着，随意，你需要你是不是那种。

李飞宇(01:28:14): 对那就跟那个什么，我刚说的就是找几家单放在那嘛，你自己扫嘛，他如果是倾向于哪家返点高，他把哪家放放放在上面。

一米阳光(01:28:14): 选择性。对，相当于。不强制。

陈俊(01:28:23): 他是这样的，他还不大一样，为什么现在扫这个码，他是实时会把他的检查建议直接会生成，如果你是个固定的二维码放在桌上的他那种。就要老百姓自己手动输入，我要做什么检查了？他是有这样的考量。

一米阳光(01:28:48): 还不如您刚才说的11条引线，比如说他在问诊的时候就已经有他的信息，通过信息，问他有什么传递过去，同时激发到手机信息短信。

李飞宇(01:29:00): 他是这样的，咱们期待中心其实就是这样，他扫了这个码之后，医生当然了，他们是用这种方式，比如说是他们和咱们的市场人员之间是有微信的医生立刻会把这个患者的名字主需要什么检查发过去，其实是两条线，就患者这边去了，那他自己可以去，比如说拿这张医生给他开的单子，或者医生给他说要做哪些检查到哪，医生同时他把这信息以其他种方式已经传递到咱们的市场人的手里边去了。

李飞宇(01:29:33): 那我就在想嘛，那假如说是，比如说咱们也走这种两条线的方式，那比如说医生的话，他有一个医生端，然后患者的话扫了之后患者端，那只要两个人的名字什么的能够对应起来。那早上就知道他去做什么检查了吗？

涂丰涛(01:29:52): c 总就你刚刚说的这种方式的话，医生他怎么跟中心去确认他的转接量，他们。

李飞宇(01:30:00): 因为第一，这肯定是里边是有信任的成分，你要没有信任的话，你弄跑一两次就出现情况，医生再也不用开单了，而且他们的结算都是非常快的，基本上是一两天就很快就结了，就长期的，你要说是医生自己去非要去查这件事，他也不会去查这个事的？

涂丰涛(01:30:17): 对这也就是我们是不是我有必要，一定要把这个医生开的这个单子给他这个患者对应的这个所谓的咨询给到这个医生一这样对应。有这样的必要？

陈俊(01:30:49): 他这个对应是为了退账，你知道不？

涂丰涛(01:30:52): 是我知道是为了对照，也就刚刚飞总介绍的，像他中心，他也是基于一种信任嘛，跟运营人员跟医生之间的一种信任关系嘛，他也没有对照，他也是这么操作的。

陈俊(01:31:13): 如果我们量大了？

李飞宇(01:31:19): 不是咱是医生就是不信任你，他必须事他没法弄事。

陈俊(01:31:27): 不是。

李飞宇(01:31:32): 我觉得先不考虑了，那但是信信任感的问题就。

袁戎(01:31:34): 我提一下，不是鞠总，我先说对你先说这个场我跟你讲一下，我就跟你说你这个场景问题，我觉得先不用纠结，这个我觉得可以单独优化，我们今天最主要是说把刚刚现在是谁在投屏，高鹏在投屏是吧？这个页面对我们今天我觉得最主要目的是把这个东西确定下来，就是他只展示这个行名就是医生怎么把这个信息这个是可以我们再来去弄，比如说可以通过，比如说他在电脑上有包括他手机有，然后就像你说的两边大家都给他一个入口，他自己去搜索去对应起来这个页面，刚刚那个医生扫码的很硬广的动作之后，我们可以再来优化核心先把这个东西我们今天说清楚。

袁戎(01:32:22): 医生他看到的报告解读的列表到底解解读什么东西？要不要交叉，或者这一个问题，对他就说我现在建议是说他就是解读他实际交费了，因为。

陈俊(01:32:33): 你刚刚说的几到几？

袁戎(01:32:44): 建议这个动作，它其实是一个非常可以泛的，像我们一直在讨论，我可以在诊室里面去建议，也可以在诊室外建议他可以是个我们就是要让他成很泛的一个动作去模糊化这个行为。那么他的建议里面，我可能我一天可以给很多人跟建议，甚至我不是医生，我也可以建议，但是建议和这个结构，他最后你建议了很多个，最后可能真正交付的吧，转化的可能有限的，那这些线它就是交付的，比如说10个人5个人，我在哪里看得到？问题必须要解决？

袁戎(01:33:24): 对我觉得是飞总就说如果我就我们去考虑他合规路径的时候，我们想注册这个行为，这个医生他叫什么，他就是来解读的，他不是上来去做建议，在线下做的事情，线上他就是来做报告解读的这个人。然后如果说大家担心，比如说涉及到这个叫什么，刚说就是患者去投诉什么就是患者看，那就是我不给患者看到是谁解读就好了嘛。反正有个人解读了就完了嘛！可不可以这样？

陈俊(01:34:05): 如不等一下，如果患者看不到是谁给我解读的，那他找谁，万一他有疑问。

李飞宇(01:34:12): 对那这样的那就那样，比如说是他可以报告解读的时候，他可以有几个选项嘛，给他几个选项嘛，就是在这个区域里面，他2.3个医生他自己选。做一个解解读，只要给患者一定有选择权，我觉得患者就他去主动认为你出现这种情况的几率比较少，这种投诉的几率会就会比较少。

陈俊(01:34:40): 你说的选项是什么？患者自己选择需不需要解读吗？是选项吗？

李飞宇(01:34:46): 不是咱们是非要走走这个解读，不管他看不看，都有这个解读的话，一定一定会有出一个报告解读。那么话，比如选一个这个区域里面的几个医生都列在上面，然后把给他开单的医生放到最最上面。或者说是咱们当时匹配的时候把这。

陈俊(01:35:08): 选择医生做解读？

李飞宇(01:35:13): 是的。但是范围就很窄，你比如说我是比如说这个射洪中中医院这个医生给他开单子，那我选的时候，当然我的库里边可能有几百上千个医生，但是我显示可以给他解读的可能就选一个射洪中医院的再选一个什么射洪什么什么医院的放两三个区域的医生放在这。然后把咱们的医生放到最上面，一般来说的话，我觉得大概率就会显示第一个，然后就给他去做解解读，反正我觉得在某些方面能够文化的一些这种灵活性，他就不会去做这些程序的事情。

陈俊(01:35:54): 我觉得是这样的，对于先对于医生来讲哈对医这个医生来讲，就是我觉得可以来看，就是来看他建议他开出的检查建议，然后做完检查之后的这个报告解读的这项工作，可以交给他这个做检查建议的这个医生，这是第一个，第二个。

陈俊(01:36:20): 还要有一个功能，就是如果我需要二次解读，我可以刚刚飞总讲的，你可以自己选择，但这个时候可能又涉及到需要进一步复课费。就会什么，你就会也会无形当中会打乱就解读这个事情，一个是叫定向分发，一个是叫二次激发，我要再收费。把这项工作，它是什么意思就是我怎么看怎么表达出来。他是。

袁戎(01:37:00): 第一项解读是 AI 生成的一个系统的解读，第二次解读是人工的真正真实要做的。

陈俊(01:37:08): 真正的是要稍微是对选项，可以由需求者发起的事情。

袁戎(01:37:11): 对。对我理解就是像现在医脉云胶片影和云胶片都有这个功能，就是我拿的报告我都可以选择。

陈俊(01:37:22): 这样的对他就会形成，他是真实的在付出一项劳动。

陈俊(01:37:41): 这样的这个事情，我们先分两块来看，第一块就是刚刚说的医生跟患者之间的这个推介的这个场景，这个事情要优化一下，不要那么硬，这是第一个，我觉得要改一下，那第二个就是现在真正不管他通过什么形式，这个医生。这个医生开了检查建议，然后现在就会回推很多的需要做解读报告的这些工作任务派过来的话，是不是要11对应派过来还是打乱交叉来派过来？这个问题其实是今天晚上讨论的核心，然后交叉派过来的话，又会涉及到他好像没法去对账哈，就我你看我表达的是对不对哈，那我们就是现在如果从正常逻辑来讲，最好还是11对应拍过来，然后增加一个二次解读的功能，然后给老百姓再做进一步的这个叫特需性的一些服务。就这个点就涂律师就是我们从从合规角度来讲。怎么通过协议或者其他方式能够规避掉，屏蔽掉一些一些这种烦恼。就刚刚说的流程链路当中。

涂丰涛(01:39:18): 我之前考虑的是说为了把这个费用合规的给出去形式上合规的给出去就是通过这种交叉的方式，相当于这个患者，只要在这平台上选了这个医疗机构做检查相当平台会给他一个增值服务，就可以给他推荐一个医生给他针对他的这个报告去做一个解读。那解读完了之后，我就把这个费用给到相应的医生，但不是11对应的医生，我是这么考在平台上这么去在企业上面这么去考虑的。

涂丰涛(01:39:55): 如果说一定要11对应的话，就还是我前面讲的，因为你你到底我推荐的这个人有没有去做检查，你给了我？你给了我一个解读报告，那就意味着他做了，如果你不给我，他时间做了，你不给我，那他是不是就是没有做这个还是不能去做确认，就反过来讲。

陈俊(01:40:24): 他这里面还会有一个看病的需求，就是他查阅不到老百姓的报告！交叉的话。

李飞宇(01:40:40): 没事，那他为什么一定要查阅到是说是比如说是他要看他能够收到钱，还是他要说进一步诊疗，他查这个报告的目的，咱们现在看出来。

